user_key,screen_name,published_at,type,lang,text_model
007mi00,007mi00,2025-01-27 14:09:49+00:00,tweet,fa,سپاه جز ویرانی و دزدی و چپاول هیچ چیزی واسه ایران نداشته . روایت یک تماشاگر در بازی پرسپولیس و تراکتور . #مرگ_بر_جمهوری_اسلامی #جاویدشاه URL
007mi00,007mi00,2024-03-08 21:50:46+00:00,tweet,fa,میدونم کسی دیگه توییتهای منو نمیبینه ولی منم به نوبه خودم روز زن رو به تمام زنان آزادی خواه ایران تبریک میگم زنانی که با شعار #جاویدشاه در کنار مردان روزی جمهوری جهل و جنون رو به زیر میکشن و پروژه زد ایرانی #زن‌_زندگی_آزادی را نابود میکنن به امید آن روز #روز‌_زن URL
007mi00,007mi00,2023-09-27 19:31:12+00:00,tweet,fa,تو میایی و مقتدر ترین پادشاهی تاریخ ایران رو رقم میزنی و همچون کوروش در تاریخ ایران جاودانه میشوی #جاویدشاه @USER URL
007mi00,007mi00,2023-05-17 19:03:02+00:00,tweet,fa,تنها شخصی که ایستاده او را تشویق میکنن مادر ایران زمین #شهبانو_فرح_پهلوی #جاویدشاه URL
007mi00,007mi00,2023-04-16 21:11:48+00:00,retweet_with_comment,fa,هنوز رد هزار پای راهپیمایی قدس خشک نشده پادشاه پاشونو گذاشتن رو شریان اصلی نظام و دارن همینجوری فشار میدن کبود و سیاهشون میکنه به این میگن مرد سیاست به افتخارش #جاویدشاه URL
007mi00,007mi00,2023-04-08 17:20:22+00:00,tweet,fa,این زهرا خانمه هیچ حقی نداشت نه تحصیل نه پوشش نه انتخاب هیچی خلاصه (دیدن این رشته توئیت خالی از لطف نیست) #جاویدشاه #رضاشاه_روحت_شاد #رضاشاه_بانی_رفاه URL
007mi00,007mi00,2023-02-21 21:51:13+00:00,tweet,fa,طالبان از سلاح جنگی جدیدش رونمایی کرد پره هاش پنکه سقفیه بقیه ش هم از شهربازی دزدیده #جاویدشاه #RezaPahlaviIsMyRepresentative URL
007mi00,007mi00,2023-02-14 21:45:40+00:00,tweet,fa,مجاهد خلق ورژن ۲۰۲۳ :))))) مزاحمین خلق حافظ نظام بودند و هستند #مریم_رجوی_گوه_خورد #جاویدشاه URL
007mi00,007mi00,2023-02-01 21:37:10+00:00,tweet,fa,سم اخر شب ایت الله متساوی الساقین #جاویدشاه URL
007mi00,007mi00,2023-01-13 18:44:11+00:00,tweet,fa,اینجا کمپ مجاهدین جلقه، به چهره‌هایشان نگاه کنید. نشانی از زندگی میبینید ؟ یا ازادی ؟ یا شادی ؟ #جاویدشاه #مرگ_بر_سه_فاسد_ملا_چپی_مجاهد #IRGCterrorists URL
007mi00,007mi00,2023-01-12 10:59:27+00:00,tweet,fa,تیمسار سپهبد #نادر_جهانبانی در پاسارگاد #سمت_درست_تاریخ #جاویدشاه URL
007mi00,007mi00,2023-01-06 20:02:20+00:00,tweet,fa,یک شب کل مردم ایران برنامه #رضا_احمدی رو ببینند جمهوری اسلامی صبح وجود نداره #جاویدشاه URL
007mi00,007mi00,2023-01-05 20:47:17+00:00,tweet,fa,باند سعید حجاریان از این زندانیها زیاد دارند . به زندان میروند و شادتر و شنگول تر و تپل تر بر میگردند . ما البته منتظر جایزه صلح نوبل و چیزهای دیگه از طرف گلوبالیستها به ایشان هستیم #جاویدشاه URL
007mi00,007mi00,2022-12-26 19:49:07+00:00,tweet,fa,کامنتهایی زیر این پست #داریوش_اقبالی نشون میده مردم دوباره اشتباه ۵۷ رو نمیخوان تکرار کنن یک توده ایی همیشه یه توده ایی میمونه فقط از شکلی به شکل دیگه تغییر میکنه #جاویدشاه URL
007mi00,007mi00,2022-12-25 14:34:12+00:00,tweet,fa,دوستان این عکس تو فضای مجازی منتشر شده ایا به نظر شما این حرکت درسته ؟ این حرکت جنبش انقلابی مردم رو منحرف نمیکنه به نظر من فردای آزادی مردم میتونن هر جوری که میخوان زندگی کنن ولی الان باعث میشه بعضی از قشرهای جامعه که با مردم همراه هستن عقب نشینی کنن نظر شما چیه ؟ #جاویدشاه URL
007mi00,007mi00,2022-12-14 05:15:25+00:00,tweet,fa,تاریخ ثابت کرد تمام این افراد به حق زندانی شده بودند #جاویدشاه URL
007mi00,007mi00,2022-12-07 20:26:08+00:00,tweet,fa,شاهنشاه قانونی ایران شاهزاده رضا پهلوی #هرمزگان #جاویدشاه @USER #ایران_تورا_صدا_میزند URL
007mi00,007mi00,2022-12-03 17:53:56+00:00,tweet,fa,خانم سپهری نماد زیبایی از آزادی است از جان رسته ی مردمی است که برهنگی فریادشان نیست دردشان می‌گیرد از درد خانمان سوزی که ضحاکوار خون جوانان و کودکان ایران را میمکد #جاوید_شاه #فاطمه_سپهری URL
007mi00,007mi00,2022-11-27 21:34:08+00:00,tweet,fa,دنیا چه بی رحمانه با این خانواده بد کرد #جاویدشاه URL
007mi00,007mi00,2022-11-19 10:07:59+00:00,tweet,fa,ملکه نور ملکه ی آینده ی ایران #شاهدخت_نور_پهلوی #جاویدشاه URL
007mi00,007mi00,2022-11-15 10:14:25+00:00,tweet,fa,خودتان انتخاب کردید این زندگی را پس در اینده روزهای بدتری هم دارید #جاویدشاه URL
0mhp037,0mhp037,2025-03-08 20:44:59+00:00,tweet,fa,عاقبت جانی و آدم کش جز مرگ در تنهایی نیست ... متهم #ابول_کوکور که از سال 1401 تحت تعقیب بود بعد کلی ضجه زدن تو لایو اینستاگرام که ملت بیاید کمکم و تسلیم شدن رفقاش با یه تیر به زندگی نحسش پایان داد نخواهیم گذاشت سرنوشت سوریه برای ایران عزیز توسط این اوباش تکرار بشه URL
2002kingfox,2002Kingfox,2025-03-11 17:23:07+00:00,retweet_with_comment,fa,خبر بد برای دار و دسته خامنه‌ای! روسیه بدون دستیابی به توافق در اوکراین نمیتواند به پایگاه سوریه بازگردد دلیل اونهم امکان راه دادن دوباره به ج اسلامیه! حالا تنها برگ پوتین برای چانه زنی در دو بازی اوکراین و سوریه، ج ا خواهد بود! #CyrusAccords #KingRezaPahlavi
2002kingfox,2002Kingfox,2025-03-11 17:19:59+00:00,reply,en,@USER IT'S Khamenei not Russia! All problems in the Middle East and even Europe will be solved immediately following the overthrow of the Khamenei regime. Give maximum support to the struggle of the Iranian people to bring the Shah in exile #KingRezaPahlavi back to Iran. URL
2002kingfox,2002Kingfox,2025-03-11 16:40:15+00:00,tweet,fa,اگر اون کلمه ممنوعه رو به زبون نمیاورد الان سراسر اروپا تا آمریکا خشتکها بود که دریده شده بود! #ایران #پاینده_ایران_جاویدشاه #ابول_کورکور URL
2002kingfox,2002Kingfox,2025-03-11 12:15:12+00:00,tweet,fa,شاید بعضی از شما معتقد باشین که امثال توماج #توله_مجاهد ارزش پرداختن و وقت گذاشتن ندارن. اشتباه میکنید! نباید نسبت به ورود اسب تراوا به جبهه خودی بی تفاوت بود! امثال اینها اسب تراوا هستن و از طریق پروپاگاندای پرزور توجهات رو به خودشون جلب میکنن. اینها مطلقا نباید خودی قلمداد بشن.
2002kingfox,2002Kingfox,2025-03-10 20:13:44+00:00,retweet_with_comment,fa,یه کار خوب از منوتو. #رضاشاه_روحت_شاد #KingRezaPahlavi‌
2002kingfox,2002Kingfox,2025-03-10 11:26:57+00:00,tweet,fa,مهره اطلاعات اولدفیس VS مهره اطلاعات نیوفیس #توله_مجاهد #پاینده_ایران_جاویدشاه #ننگ_بر_خامنه_ای_جنایتکار_و_مزدورانش URL
2002kingfox,2002Kingfox,2025-03-10 10:32:04+00:00,tweet,fa,این تخم کمونیست اصلا تو ایذه چیکار داشته؟؟ اصلا برای چی دور ایران میچرخه؟؟ #توله_مجاهد URL
