id,screen_name,user_key,name,description,clean_description,created_at,followers_count,friends_count,favourites_count,listed_count,media_count,statuses_count,status_count,normal_followers_count,user_age,follower_growth_rate,friends_growth_rate,default_profile,default_profile_image,has_custom_timelines,possibly_sensitive,hashtag_in_description,numbers_in_description,no_type_tweet,no_type_retweet_with_comment,no_type_reply,mean_no_media_per_tweet,mean_no_words,no_languages,mean_no_hashtags,mean_favourites_per_tweet,time_between_tweets,tweet_frequency,min_tweets_per_hour,min_tweets_per_day,max_tweets_per_hour,max_tweets_per_day,max_occurence_of_same_gap,unique_mention_rate_per_tweet,mean_user_mentions_per_tweet,retweet_as_tweet_rate,no_retweet_tweets,mean_retweets_per_tweet,description_length,followers_friend_ratio,num_digits_in_name,num_digits_in_username,url_in_description,label_raw,label_binary,has_profile,has_description,has_raw_tweets,has_behavior_temporal,has_graph
617853906.0,PatriotPointman,patriotpointman,Brett Murphy,Writer & Poet | Videos & Live Streams | America First Patriot | Honoring My Son's Legacy Through Service,Writer & Poet | Videos & Live Streams | America First Patriot | Honoring My Son's Legacy Through Service,2012-06-25T04:38:20+00:00,159406.0,39400.0,42127.0,450.0,170586.0,2427479.0,2427479.0,159406.0,4667.0,34.15599,8.442254,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,12.0,0.0,520.1369,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2427478.0,2427478.0,6.0,104,4.0458375634517765,0,0,0,,,1,1,0,1,0
1.58e+18,IranZiba1401,iranziba1401,Free Iran,"💚🦁🤍🌞❤️

@PahlaviReza, https://t.co/dlBsD3cnjD
@PahlaviComms, https://t.co/3qKrOKvVrr
@ShahbanouFarah, https://t.co/ZO2yxTl2G2","@PahlaviReza, 
 @PahlaviComms, 
 @ShahbanouFarah,",2022-10-12T00:53:19+00:00,2020.0,1938.0,49690.0,2.0,9921.0,381563.0,381563.0,2020.0,906.0,2.229581,2.139073,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,17.5,2.0,2.5,14.0,12948214.0,421.1512,0.0,0.0,2.0,2.0,2.0,0.5,0.5,381560.0,381560.0,7.75,125,1.0423116615067078,0,4,1,,,1,1,0,1,0
1.71608e+18,MIIran20194,miiran20194,دخترایران از نسل رستم,"من دخترایران 
از نسل رستم
میجنگم برای ایران آباد آزاد
برای ایران پادشاهی
تاابد جاویدشاه","من دخترایران 
 از نسل رستم
 میجنگم برای ایران آباد آزاد
 برای ایران پادشاهی
 تاابد جاویدشاه",2023-10-22T13:33:33+00:00,917.0,558.0,68844.0,1.0,1971.0,189003.0,189003.0,917.0,531.0,1.72693,1.050847,1.0,0.0,0.0,0.0,0.0,0.0,707.0,451.0,37.0,0.493489,33.05826,3.0,2.989719,3.864976,4105.823,355.9379,0.0,0.0,34.0,104.0,269.0,0.023304,0.037697,265.6407355,187808.0,1.204935,87,1.6433691756272402,0,5,0,,,1,1,0,1,0
1.68461e+18,Artemis540721,artemis540721,👑Artemis👑,تا ابد و یک روز جاوید شاه،پاینده ایران,تا ابد و یک روز جاوید شاه،پاینده ایران,2023-07-27T17:19:20+00:00,1052.0,266.0,244259.0,2.0,1290.0,207701.0,207701.0,1052.0,618.0,1.702265,0.430421,1.0,0.0,0.0,0.0,0.0,0.0,7.0,100.0,46.0,1.698795,26.99398,5.0,2.650602,48.45181,311506.0,336.0858,0.0,0.0,11.0,19.0,14.0,0.283133,0.668675,29649.71429,207548.0,22.94578,38,3.954887218045113,0,6,0,,,1,1,0,1,0
1.80045e+18,tifraghe_n,tifraghe_n,Tifraghe,parody and political satire,parody and political satire,2024-06-11T08:55:49+00:00,2838.0,1826.0,120843.0,0.0,1304.0,95278.0,95278.0,2838.0,298.0,9.52349,6.127517,1.0,0.0,0.0,0.0,0.0,0.0,58.0,37.0,10.0,0.786325,25.17949,3.0,1.692308,145.5128,165330.2,319.7248,0.0,0.0,2.0,6.0,13.0,0.17094,0.205128,1640.913793,95173.0,40.90598,27,1.5542168674698795,0,0,0,,,1,1,0,1,0
1.59589e+18,EstouComIsrael,estoucomisrael,Leoa de Judá 🇮🇱 🇧🇷 🇵🇹,"Podem calar a minha voz! Mas não podem matar o meu Espírito. Pois em verdade vos digo: -  Não mais vivo eu, mas Cristo vive em mim!","Podem calar a minha voz! Mas não podem matar o meu Espírito. Pois em verdade vos digo: - Não mais vivo eu, mas Cristo vive em mim!",2022-11-24T21:29:02+00:00,8149.0,8860.0,317045.0,5.0,2441.0,265689.0,265689.0,8149.0,863.0,9.442642,10.26651,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,1.0,0.0,0.0,307.8667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,265688.0,265688.0,0.0,131,0.9197516930022573,0,0,0,,,1,1,0,1,1
177584156.0,jjauthor,jjauthor,Janie Johnson - America is Exceptional,"THINK AMERICA GREAT! Conservatism. Patriotism. Optimism. Don't Take My Lemonade Stand, Uncommon Sense,0 Slogans. God. Country. Family. 🇺🇸  https://t.co/j92pcSV8fv","THINK AMERICA GREAT! Conservatism. Patriotism. Optimism. Don't Take My Lemonade Stand, Uncommon Sense,0 Slogans. God. Country. Family.",2010-08-12T14:41:59+00:00,218955.0,73207.0,287709.0,2173.0,89818.0,1574390.0,1574390.0,218955.0,5350.0,40.92617,13.68355,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,360.0,0.0,294.2785,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1574389.0,1574389.0,284.0,162,2.990902509322879,0,0,1,,,1,1,0,1,0
1.57186e+18,Lillian3003,lillian3003,lillian,,,2022-09-19T14:16:27+00:00,1477.0,1186.0,129193.0,5.0,41943.0,271606.0,271606.0,1477.0,929.0,1.589882,1.276642,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.2,24.6,1.0,1.2,252.6,11565769.0,292.3638,0.0,0.0,2.0,2.0,3.0,0.0,0.0,90534.33333,271603.0,70.2,0,1.245362563237774,0,4,0,,,1,0,0,1,0
1.8597e+18,amiralikohrang,amiralikohrang,koohrang,🦁کیان پیرفلک🌞کوهرنگ،زردکوه،کارون...سابق.🧡کفیر🎗آریل🧡,کیان پیرفلککوهرنگ،زردکوه،کارون...سابق.کفیرآریل,2024-11-21T20:42:05+00:00,164.0,91.0,32073.0,1.0,114.0,36958.0,36958.0,164.0,135.0,1.214815,0.674074,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.6,10.1,2.0,2.1,3.7,417537.8,273.763,0.0,0.0,2.0,2.0,2.0,0.7,1.2,36949.0,36949.0,0.5,51,1.8021978021978022,0,0,0,,,1,1,0,1,0
1271852322.0,Limportant_fr,limportant_fr,L'important,Le site l'Important sélectionne des tweets du monde entier pour en retenir...l'important. L'info par les réseaux sociaux.,Le site l'Important sélectionne des tweets du monde entier pour en retenir...l'important. L'info par les réseaux sociaux.,2013-03-16T09:23:50+00:00,312588.0,2212.0,13720.0,2788.0,1079474.0,1177367.0,1177367.0,312588.0,4403.0,70.99432,0.502385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,1.0,0.0,14.0,0.0,267.4011,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1177366.0,1177366.0,3.0,121,141.3146473779385,0,0,0,,,1,1,0,1,0
1.88236e+18,SaraArya492797,saraarya492797,Sara_Arya,,,2025-01-23T09:23:26+00:00,19.0,302.0,18072.0,0.0,186.0,18550.0,18550.0,19.0,72.0,0.263889,4.194444,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,2.0,1.666667,0.0,116699.0,257.6389,0.0,0.0,1.0,1.0,1.0,0.666667,1.666667,18547.0,18547.0,0.0,0,0.06291390728476821,0,6,0,,,1,0,0,1,0
16973333.0,Independent,independent,The Independent,"News, comment and features from The Independent. Get the app: https://t.co/xWOfz1lHUd…","News, comment and features from The Independent. Get the app:",2008-10-26T00:00:29+00:00,3538418.0,461.0,122.0,25149.0,274712.0,1505528.0,1505528.0,3538418.0,6005.0,589.2453,0.076769,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,5.0,0.0,250.7124,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1505527.0,1505527.0,4.0,86,7675.527114967462,0,0,1,,,1,1,0,1,0
1.57259e+18,Afsun_jnd,afsun_jnd,Jundark,اتحاد رمز  مرگ ج ا,اتحاد رمز مرگ ج ا,2022-09-21T14:09:22+00:00,1457.0,2440.0,208919.0,2.0,2397.0,227802.0,227802.0,1457.0,927.0,1.571737,2.632147,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,45.0,0.173077,14.80769,5.0,1.538462,6.826923,80875.92,245.7411,0.0,0.0,4.0,7.0,5.0,0.711538,1.269231,75918.0,227754.0,1.269231,18,0.5971311475409836,0,0,0,,,1,1,0,1,0
1.82191e+18,rahaey198039194,rahaey198039194,👑RahRahaey777👑,"گمنام باش تا رها باشی ولی انسانیت رااز یاد نبر
هویت اریایی
تاج کیهانی  پادشاه کیانی
حامی شاهنشاه رضاپهلوی  وارث تاج وتخت خسروی
جاویدشاه همان پاینده ایران است",,2024-08-09T13:46:19+00:00,,,93127.0,1.0,456.0,57449.0,57449.0,699.0,239.0,2.924686,3.09205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,1.0,1.0,2.0,0.0,240.3724,2.0,2.0,2.0,2.0,2.0,0.0,15.0,57448.0,57448.0,0.0,157,,3,9,0,,,1,1,0,1,0
8.11972e+17,republic,republic,Republic,The official handle of the Republic Media Network | DIGITAL | TV | MEDIA | Subscribe to WhatsApp Channel Here - https://t.co/xyHvysKg6I,,2016-12-22T16:31:35+00:00,,,3551.0,2805.0,249272.0,705192.0,705192.0,2841497.0,3026.0,939.0274,0.002644,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,47.0,1.0,1.0,1101.0,0.0,233.0443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,705191.0,705191.0,329.0,135,,0,0,1,,,1,1,0,1,0
1.71707e+18,kouroshjanani,kouroshjanani,Sama,ما ملت کبیریم ایران رو پس میگیریم.   جاویدشاه👑. کوروش کبیر👑 پرنسسم💅,"گمنام باش تا رها باشی ولی انسانیت رااز یاد نبر
 هویت اریایی
 تاج کیهانی پادشاه کیانی
 حامی شاهنشاه رضاپهلوی وارث تاج وتخت خسروی
 جاویدشاه همان پاینده ایران است",2023-10-25T07:04:50+00:00,699.0,739.0,182851.0,1.0,132.0,108526.0,108526.0,652.0,528.0,1.234848,1.657197,1.0,0.0,0.0,0.0,0.0,0.0,27.0,69.0,46.0,0.211538,22.16026,3.0,1.769231,9.948718,42904.55,205.5417,0.0,0.0,4.0,13.0,15.0,0.326923,1.166667,4014.222222,108384.0,2.647436,67,0.945872801082544,0,0,0,,,1,1,0,1,0
1.59965e+18,MohammadLevel0,mohammadlevel0,Mohammad,👑Pahlavi is my hope👑,,2022-12-05T06:16:53+00:00,3378.0,1419.0,326145.0,1.0,2012.0,169156.0,169156.0,677.0,852.0,0.794601,0.021127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.679612,7.815534,4.0,4.07767,2.475728,48379.36,198.5399,0.0,0.0,6.0,10.0,20.0,0.504854,1.786408,169072.0,169072.0,1.194175,20,2.380549682875264,0,1,0,,,1,1,0,1,1
